商品ID,タイトル,紹介文,レーベル名,メーカー名,カテゴリ,価格,レーベル種別,出演者,公開開始日,商品URL
fellatiohunter-0001,すごい美人です！スケベな音を出しながらフェラチオ,"すごい美人です！綺麗と可愛いが共存して、とにかく美しい。いろんな芸能人にも見えてきます。形良いCカップのおっぱい。固めの乳首は指で弄りがいがあります。張りがあって柔らかいおっぱい。触ると思わず感じちゃってます。あぁ美人だ。でもチンポを咥えてる。根元まで丸呑み！チン先が喉奥にあたってます。気持ちいい。ジュボジュボとスケベな音を出しながらピストン。こちらの反応を確かめるようにじっと見つめます。緩急をつけながらのローリングピストン。チンポが口内の粘膜にぐるりと擦れて気持ち良すぎ！美しいフェラ顔で見つめられながら高速ピストン！我慢ができずに大量口内発射！口でイカせてちょっと満足気？あぁ可愛い。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0001/
fellatiohunter-0002,小さい顔でディープピストン！保●園じゃ見せられない！,"小柄で可愛らしい娘。顔の小さい三つ編み娘です。小ぶりなおっぱい。ちょっと触っただけで勃起しちゃう敏感乳首です。深い！深い！時々いれてくるローリングスロートの変化球チンポの先から根元まで全部丸呑み！スピードアップするピストンの我慢ができず大量口内発射！こんなすごいフェラ、見た目じゃ想像できません。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0002/
fellatiohunter-0003,個撮）色白もち肌可愛い娘！従順ピストンフェラ,"家出？今はマン喫で生活しているようです。両親心配してない？色白もち肌！どこを触っても、キメが細かくて柔らかいです。ジーっと見つめながらチンポを丁寧に舐めてくれます。程よいバキュームピストン。時々深いスロート。従順なピストンが確実に金玉を吊り上げる！我慢できずに大量口内発射。服○した子猫のようです。久しぶりフェラで緊張してましたが、チンポ好きのムッツリですこの娘。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0003/
fellatiohunter-0004,チンポ好きのベジタリアン。ビックリ顔射！,"警戒心強めというか、めっちゃ緊張しています。色白で張りのあるおっぱい。コロコロ転がしやすい乳首です。たっぷりのヨダレで口の中ヌルヌルです。舌回し舐めピストンや先っちょ高速ピストン！飽きさせない奉仕っぷり。チンポに夢中になる彼女。最初からの変わりようにこちらも大興奮。我慢できずに大量口内発射のつもりが顔面に誤発射！「やべー」と焦りましたが、彼女は構わずお掃除フェラまでしてくれて一安心。むしろ顔射後イキイキしてません？久しぶりのたんぱく質はどうですか？あ、野菜でもとれるか。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0004/
fellatiohunter-0005,ウブっ娘！恥ずかしフェラ。ねっとりディープスロート,"東北圏の女の子。色白いです。下着チェックと服の上からおっぱい触れました。チンポを見て恥ずかしがって、思わず顔をそむけちゃいます。それでもフェラが嫌いなわけではないようで男の表情を確認しながら丁寧に舐めてくれます。深い！根元まで丸呑みです。激しいピストンではないのに、口内とチンポがねっとりと絡みついて、確実に込み上げてきます。そのまま我慢ができずに大量口内発射恥ずかしいのに健気に頑張ってくれました。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0005/
fellatiohunter-0006,【化粧品販売員さん】ハイクオリティ見つめてフェラチオ,"長めのボブヘアが素敵なお姉さん。ニットの上から触るおっぱいは興奮します。色白の肌が素晴らしい、超美乳です！柔らかさも感度も良好です！見てください！化粧品販売員さんのハイクオリティ見つめてフェラチオ！口内密着バキュームしながら、じっとこちらを見つめます。ネジる！ネジる！すごいローリングフェラ！ローリングバキュームのスゴ技で我慢できずに大量口内発射！精子まみれのお顔も美しいです。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0006/
fellatiohunter-0007,個撮）おっとり系巨乳お姉さん。粘着質なエロすぎフェラ,"お淑やか容姿からは想像できない、迫力の美巨乳です！キメが細かい色白の肌と重量級美巨乳！幸せな重さと柔らかさ。永遠と揉んでいたい。ねっとりと優しく、柔らかいタッチがとてもエロいです。チンポを根元までフワァと包み込んでくれます。絶妙なバキュームとピストンで確実に盛り上がり！我慢ができずに大量口内発射！優しくてドスケベ。見た目からは想像できませんでした。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0007/
fellatiohunter-0008,個撮）ムッチリお嬢様「ジュボジュボ」音出し従順フェラ,"音○生のムッチリお嬢様。可愛らしい下着です。勃起した乳首は感度良好！「ジュボジュボ」とエロい音を出したフェラチオです。根元までズッポリ丸呑み！気持ち良くなって欲しいという従順さが伺えます。ピンポイントな亀頭ピストンで我慢ができず大量口内発射！フェラでイカせて満足げ！？な表情が可愛らしかったです。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0008/
fellatiohunter-0009,個撮）胸キュン【見つめてピストン】車中フェラ,"車内で緊張中。ワンピースを上にあげて綺麗なおっぱいを見せてくれます。こちらの反応をじっと見つめてピストンフェラ根元までガボっと丸呑み、口内で舌を絡ませてきます。可愛いフェラ顔に興奮マックス大量発射！見つめる瞳が可愛すぎて大興奮でした。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0009/
fellatiohunter-0010,個撮）美巨乳ママ【ぽってり唇】柔らかフェラ,"色白美人ママ。脱いだら美しいおっぱいでした。手に吸い付くキメの細かい肌と柔らかいおっぱいを揉みまくり！こちら反応を伺いながら、やさしく丁寧なピストンフェラです。程よいバキュームで根元までズッポリ！決して早くないピストンでも、口内でチンポがねっとりと絡まって気持ち良すぎです。我慢ができずに大量口内発射！フェラチオから、優しさとエロさが伝わりました。 ※本編顔出し",フェラチオハンター,フェラチオハンター,フェチ,500,PPV,,2021年08月26日,http://duga.jp/ppv/fellatiohunter-0010/
